央视频道,#genre#
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000130/index.m3u8
生活服务,http://39.134.169.184:6060/050000001888/5000000188800000131/index.m3u8
经济,http://39.134.169.184:6060/050000001888/5000000188800000132/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000136/index.m3u8
经济生活,http://39.134.169.184:6060/050000001888/5000000188800000137/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000138/index.m3u8
经济生活,http://39.134.169.184:6060/050000001888/5000000188800000139/index.m3u8
影视娱乐,http://39.134.169.184:6060/050000001888/5000000188800000140/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000141/index.m3u8
城市服务,http://39.134.169.184:6060/050000001888/5000000188800000142/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000144/index.m3u8
经济服务,http://39.134.169.184:6060/050000001888/5000000188800000145/index.m3u8
影视娱乐,http://39.134.169.184:6060/050000001888/5000000188800000146/index.m3u8
新闻综合,http://39.134.169.184:6060/050000001888/5000000188800000152/index.m3u8
文化旅游,http://39.134.169.184:6060/050000001888/5000000188800000153/index.m3u8
生活资讯,http://39.134.169.184:6060/050000001888/5000000188800000154/index.m3u8
黑 龙 江,#genre#
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江农业科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江文体,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江新闻法治,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江都市,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
鹤岗新闻综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
